:HRUs
 :Attributes      AREA ELEVATION  LATITUDE LONGITUDE  BASIN_ID      LAND_USE_CLASS           VEG_CLASS        SOIL_PROFILE AQUIFER_PROFILE  TERRAIN_CLASS     SLOPE    ASPECT
 :Units            km2         m       deg       deg      none                none                none                none            none           none       deg      degN
  191           1.7352     189.1   43.5404  -79.7724        28     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     0.961   143.543
  192           0.4716     192.9   43.5498  -79.7820        28               Urban                Bare                 Low          [NONE]         [NONE]     0.942   200.912
  193           0.7236     186.0   43.5306  -79.7683        28     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     1.055   100.196
  194           0.4716     189.2   43.5429  -79.7720        28         Agriculture     ShortVegetation                High          [NONE]         [NONE]     0.845   139.661
  195           0.1764     249.4   43.3507  -79.8864        29         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     0.866   136.527
  196           0.8640     240.4   43.3423  -79.8908        29               Urban                Bare                 Low          [NONE]         [NONE]     2.123   191.084
  197           0.1656     239.8   43.3423  -79.8900        29              Barren                Bare                 Low          [NONE]         [NONE]     2.247   180.294
  198           0.1908     231.3   43.3398  -79.8916        29     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.363   190.677
  199           0.1224     232.1   43.3424  -79.8909        29              Forest           Deciduous                 Low          [NONE]         [NONE]     2.592   182.238
  200           0.2196     241.6   43.3439  -79.8908        29     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     2.640   115.815
  201           0.1440     239.8   43.3397  -79.8970        29               Urban                Bare                High          [NONE]         [NONE]     1.879   245.431
  202           0.1080     239.7   43.3385  -79.8990        29     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.463   208.057
  203           0.7416     258.8   43.3702  -79.9450        30               Swamp     MixedVegetation                High          [NONE]         [NONE]     0.291   203.099
  204           0.5364     262.6   43.3642  -79.9480        30     ShortVegetation     ShortVegetation                High          [NONE]         [NONE]     1.547   137.644
  205           1.3032     261.1   43.3671  -79.9465        30     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.041   186.971
  206           3.2832     263.1   43.3560  -79.9523        30         Agriculture     ShortVegetation                High          [NONE]         [NONE]     1.176   237.433
  207           0.5148     264.0   43.3644  -79.9500        30     ShortVegetation     MixedVegetation                High          [NONE]         [NONE]     1.592   270.585
  208           1.2420     260.9   43.3547  -79.9503        30               Urban                Bare                High          [NONE]         [NONE]     1.482   224.005
  209           0.4464     262.5   43.3562  -79.9448        30         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.259   237.214
  210           1.6380     265.5   43.3775  -79.8734        31              Forest           Deciduous                 Low          [NONE]         [NONE]     1.164   171.781
  211           1.2816     256.6   43.3627  -79.8762        31               Urban                Bare                 Low          [NONE]         [NONE]     1.510   172.747
  212           0.9900     258.8   43.3682  -79.8755        31     ShortVegetation     ShortVegetation                 Low          [NONE]         [NONE]     1.177   168.583
  213           2.7720     266.6   43.3771  -79.8713        31         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.526   162.610
  214           0.9144     254.4   43.3640  -79.8760        31     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     1.441   163.557
  215           0.7920     267.7   43.3833  -79.8797        31     ShortVegetation     MixedVegetation                 Low          [NONE]         [NONE]     1.622   198.788
  216          10.0980     187.6   43.4888  -79.8233        32         Agriculture     ShortVegetation                 Low          [NONE]         [NONE]     1.086   216.160
  217           2.4696     178.5   43.4913  -79.8310        32     ShortVegetation     ShortVegetation             Unknown          [NONE]         [NONE]     3.457   223.079
  218           1.7712     195.6   43.5029  -79.8560        32              Barren                Bare                 Low          [NONE]         [NONE]     0.971   226.069
  219          10.6200     196.5   43.5042  -79.8582        32               Urban                Bare                 Low          [NONE]         [NONE]     1.051   220.305
